name,image,url,productid
Gel Rửa Mặt SVR Không Chứa Xà Phòng Cho Da Dầu 400ml,,https://hasaki.vn/san-pham/gel-rua-mat-svr-khong-chua-xa-phong-cho-da-dau-400ml-90639.html,422200632
"Serum Garnier Giảm Mụn Mờ Thâm Cho Da Dầu, Mụn 30ml",,https://hasaki.vn/san-pham/tinh-chat-garnier-giam-mun-mo-tham-cho-da-dau-mun-30ml-102911.html,422208913
Kem Dưỡng Olay Luminous Sáng Da Mờ Thâm Nám Ban Đêm 50g,,https://hasaki.vn/san-pham/kem-duong-am-ban-dem-olay-lam-sang-da-mo-tham-nam-50g-87859.html,206400019
Kem Dưỡng La Roche-Posay Giúp Phục Hồi Da Đa Công Dụng 100ml,,https://hasaki.vn/san-pham/kem-duong-la-roche-posay-giup-phuc-hoi-da-da-cong-dung-100ml-106679.html,422211241
Combo 5 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng,,https://hasaki.vn/san-pham/combo-5-bong-tay-trang-hotosu-cao-cap-150-mieng-107942.html,422212333
Combo 3 Gel Rửa Mặt La Roche-Posay Cho Da Dầu Nhạy Cảm 50ml,,https://hasaki.vn/san-pham/combo-3-gel-rua-mat-la-roche-posay-cho-da-dau-nhay-cam-50ml-106275.html,422210980
Serum Timeless Vitamin B5 Làm Dịu & Phục Hồi Da 30ml,,https://hasaki.vn/san-pham/serum-timeless-vitamin-b5-lam-diu-phuc-hoi-da-30ml-3495.html,100210023
Serum La Roche-Posay Giúp Tái Tạo & Phục Hồi Da 30ml,,https://hasaki.vn/san-pham/tinh-chat-la-roche-posay-ho-tro-phuc-hoi-da-30ml-76584.html,204900089
"Nước Tẩy Trang L'Oreal Dưỡng Ẩm Cho Da Thường, Khô 400ml",,https://hasaki.vn/san-pham/nuoc-tay-trang-l-oreal-paris-3-in-1-duong-am-danh-cho-da-thuong-da-kho-400ml-19286.html,205100136
Kem Dưỡng Ẩm Klairs Làm Dịu & Phục Hồi Da Ban Đêm 60g,,https://hasaki.vn/san-pham/kem-duong-am-lam-diu-da-ban-dem-klairs-60ml-66026.html,318900005
Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 55g,,https://hasaki.vn/san-pham/sua-chong-nang-sunplay-duong-da-sang-min-spf50-pa-55g-12064.html,249500007
Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 30ml,,https://hasaki.vn/san-pham/dung-dich-tay-da-chet-paula-s-choice-bha-2-30ml-2364.html,100220035
"Kem Dưỡng Vichy Sáng Da, Mờ Thâm Nám Ban Đêm 50ml",,https://hasaki.vn/san-pham/kem-duong-vichy-lam-sang-san-chac-da-ban-dem-50ml-93797.html,422203173
"Serum GoodnDoc Dưỡng Ẩm, Hỗ Trợ Phục Hồi Da 30ml",,https://hasaki.vn/san-pham/tinh-chat-goodndoc-duong-am-ho-tro-phuc-hoi-da-30ml-89563.html,231100005
Kem Dưỡng La Roche-Posay Giảm Mụn Hiệu Quả 40ml,,https://hasaki.vn/san-pham/kem-duong-la-roche-posay-giam-mun-hieu-qua-40ml-114501.html,422216352
"Serum Balance Active Formula Làm Sáng Da, Mờ Thâm 30ml",,https://hasaki.vn/san-pham/tinh-chat-balance-active-formula-vitamin-c-sang-da-30ml-79881.html,371600006
